id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
38530,Марченко Наталия Петровна,Светлогорской районной организацией Белорусского Общества Красного Креста,0,5,5796,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0015%20%D0%9C%D0%B0%D1%80%D1%87%D0%B5%D0%BD%D0%BA%D0%BE%20%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D0%B8%D1%8F%20%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sv12.schools.by/administration/765810,"ГУО ""Средняя школа №12 г.Светлогорска""",,,,,,,,3422
38531,Северин Надежда Сергеевна,Светлогорской районной организацией общественного объединения «Белорусский фонд мира»,0,15,NULL,,,,,,,,,,,3422
38532,Сулименко Елена Викторовна,Светлогорской районной организацией Республиканской партии труда и справедливости,0,3,NULL,,,,,,,,,,,3422
38533,Хорт Светлана Васильевна,гражданами путем подачи заявления,0,4000,8007,,,,,,,,,,,3422
38534,Постаногова Ольга Леонидовна,трудовым коллективом государственного учреждения образования «Средняя школа №12 г. Светлогорска»,1,NULL,5796,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0016%20%D0%9F%D0%BE%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B3%D0%BE%D0%B2%D0%B0%20%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0%20%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sv12.schools.by/administration/765806,"ГУО ""Средняя школа №12 г.Светлогорска""",,,,,«Средняя школа №12 г. Светлогорска»,,,3423
38535,Русакова Ирина Сергеевна,Светлогорской районной организацией Белорусского профессионального союза работников образования и науки,2,26,NULL,,,,,,,,,,,3423
38536,Литош Татьяна Михайловна,Светлогорской районной организацией Республиканского общественного объединения «Белая Русь»,3,4,NULL,,,,,,,,,,,3423
38537,Войтехович Елена Александровна,гражданами путём подачи заявления,0,4000,NULL,,,,,,,,,,,3423
38538,Гришков Василий Иванович,гражданами путём подачи заявления,0,4000,NULL,,,,,,,,,,,3423
38539,Грушко Светлана Адольфовна,Светлогорской районной организацией ’ Коммунистической партии Беларуси,0,7,NULL,,,,,,,,,,,3423
38540,Горбацевич Юлия Михайловна,гражданами путём подачи заявления,0,4000,NULL,,,,,,,,,,,3423
38541,Зеленая Елена Алексеевна,Светлогорской районной организацией Социал-демократической партии Народного Согласия,0,2,NULL,,,,,,,,,,,3423
38542,Игнатенко Ирина Федоровна,гражданами путём подачи заявления,0,4000,NULL,,,,,,,,,,,3423
38543,Кисель Юлия Николаевна,Светлогорской районной организацией Республиканской партии труда и справедливости,0,3,NULL,,,,,,,,,,,3423
38544,Митрахович Татьяна Ивановна,гражданами путём подачи заявления,0,4000,5396,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0016%20%D0%9C%D0%B8%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%B8%D1%87%20%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0%20%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://parichi.schools.by/administration/250496,"ГУО ""Паричская средняя школа""",,,,,,,,3423
38545,Самончик Оксана Николаевна,гражданами путём подачи заявления,0,4000,NULL,,,,,,,,,,,3423
