id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
40883,Капелева Людмила Николаевна,заявления граждан,0,4000,4071,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0130%20%D0%9A%D0%B0%D0%BF%D0%B5%D0%BB%D0%B5%D0%B2%D0%B0%20%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://13grodno.schools.by/teacher/1449153,"ГУО ""Средняя школа №13 г. Гродно""",,,,,,,,3628
40884,Леонец Александра Владимировна,заявления граждан,0,4000,NULL,,,,,,,,,,,3628
40885,Обуховская Анна Валентиновна,заявления граждан,0,4000,4071,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0130%20%D0%9E%D0%B1%D1%83%D1%85%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%20%D0%90%D0%BD%D0%BD%D0%B0%20%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://13grodno.schools.by/teacher/251688,"ГУО ""Средняя школа №13 г. Гродно""",,,,,,,,3628
40886,Павловская Марьяна Викторовна,заявления граждан,0,4000,4071,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0130%20%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%20%D0%9C%D0%B0%D1%80%D1%8C%D1%8F%D0%BD%D0%B0%20%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://13grodno.schools.by/teacher/714015,"ГУО ""Средняя школа №13 г. Гродно""",,,,,,,,3628
40887,Подручный Николай Игоревич,заявления граждан,0,4000,4071,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0130%20%D0%9F%D0%BE%D0%B4%D1%80%D1%83%D1%87%D0%BD%D1%8B%D0%B9%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%20%D0%98%D0%B3%D0%BE%D1%80%D0%B5%D0%B2%D0%B8%D1%87.jpeg,https://13grodno.schools.by/administration/399390,"ГУО ""Средняя школа №13 г. Гродно""",,,,,,,,3628
40888,Романовская Наталья Юрьевна,Октябрьской районной организацией общественного объединения «Белорусский союз женщин» г.Гродно,0,8,4071,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0130%20%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%20%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D1%8F%20%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://13grodno.schools.by/teacher/251141,"ГУО ""Средняя школа №13 г. Гродно""",,,,,,,,3628
40889,Шидоавсаая Валентина Антоновна,Гродненской городской организацией Белорусского профессионального союза работников образования и науки,0,26,NULL,,,,,,,,,,,3628
40890,Громова Екатерина Евгеньевна,"Октябрьской районной организацией г.Гродно Республиканского общественного объединения «Белая Русь», путем подачи заявления граждан",1,4000,NULL,,,,,,,,,,,3629
40891,Халько Наталья Петровна,Гродненской областной организацией Белорусского профессионального союза работников государственных и других учреждений,2,21,NULL,,,,,,,,,,,3629
40892,Рашевская Ада Эдуардовна,заявления граждан,3,4000,NULL,,,,,,,,,,,3629
